# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5
2.76, 0, 0.0519512, -0.116829, -0.00296428, 0.101228, -0.0783088, -0.0190997
2.78, 0, 0.0519818, -0.117074, -0.00265868, 0.129878, -0.0878587, -0.0286496
2.8, 0, 0.0517067, -0.117104, -0.00226141, 0.137518, -0.103138, -0.0286496
2.82, 0, 0.0516762, -0.11686, -0.00232253, 0.145158, -0.129878, -0.0267396
2.84, 0, 0.0518901, -0.11689, -0.00183357, 0.0916786, -0.164258, -0.0305595
2.86, 0, 0.0521651, -0.116707, -0.00183357, 0.0840387, -0.139428, -0.0439293
2.88, 0, 0.0524707, -0.11689, -0.00235308, 0.0611191, -0.135608, -0.0267396
2.9, 0, 0.0525013, -0.116921, -0.0024142, 0.0572991, -0.129878, -0.0210097
2.92, 0, 0.0523485, -0.116646, -0.00213917, 0.0725789, -0.101228, -0.00572991
2.94, 0, 0.0522568, -0.116157, -0.0024142, 0.0611191, -0.0725789, -0.0171897
2.96, 0, 0.0526847, -0.116462, -0.00244476, 0.00190997, -0.0630291, -0.0401094
2.98, 0, 0.0527763, -0.116951, -0.00226141, -0.0343795, -0.0515692, -0.0190997
3, 0, 0.0525319, -0.116707, -0.00168077, -0.00190997, -0.0343795, -0.0267396
3.02, 0, 0.0523791, -0.11631, -0.00195581, -0.0592091, -0.0114598, -0.0343795
3.04, 0, 0.0529291, -0.116493, -0.00207805, -0.0859487, 0.0420194, -0.0286496
3.06, 0, 0.0530208, -0.11631, -0.00232253, -0.0878587, 0.105048, -0.0381994
3.08, 0, 0.0528986, -0.116279, -0.00189469, -0.116508, 0.127968, -0.0458393
3.1, 0, 0.0525013, -0.11631, -0.00195581, -0.196727, 0.122238, -0.0458393
3.12, 0, 0.052593, -0.116829, -0.00253644, -0.238746, 0.139428, -0.0458393
3.14, 0, 0.0526847, -0.11689, -0.00278092, -0.233017, 0.133698, -0.0439293
3.16, 0, 0.0525013, -0.117165, -0.00278092, -0.206277, 0.147068, -0.0439293
3.17, 0, 0.0525624, -0.116799, -0.00333099, -0.183357, 0.160438, -0.0496593
3.19, 0, 0.0526847, -0.117013, -0.00265868, -0.152798, 0.162348, -0.0477493
3.21, 0, 0.0523179, -0.116585, -0.00265868, -0.118418, 0.156618, -0.0477493
3.23, 0, 0.0525013, -0.116371, -0.00293372, -0.179537, 0.114598, -0.0553892
3.25, 0, 0.0529291, -0.116401, -0.00311707, -0.215827, 0.103138, -0.070669
3.27, 0, 0.0530514, -0.116401, -0.00308651, -0.225377, 0.108868, -0.0763989
3.29, 0, 0.0528986, -0.116646, -0.00348379, -0.246386, 0.0935886, -0.0954986
3.31, 0, 0.0532958, -0.117013, -0.00424778, -0.301776, 0.103138, -0.0916786
3.33, 0, 0.0542126, -0.118143, -0.00571463, -0.429744, 0.208187, -0.068759
3.35, 0, 0.0556184, -0.118999, -0.00828164, -0.320875, 0.294136, 0.00381994
3.37, 0, 0.059041, -0.116401, -0.0121933, -0.412554, 0.504233, 0.0840387
3.39, 0, 0.0638083, -0.120068, -0.0115515, -0.849937, 0.67804, 0.242566
3.41, 0, 0.0643584, -0.122238, -0.0104514, -0.65512, 0.760169, 0.828928
3.43, 0, 0.058491, -0.121107, -0.00910674, -0.391544, 0.595911, 1.61775
3.45, 0, 0.0528069, -0.118877, -0.00837332, -0.0305595, 0.341885, 2.15827
3.47, 0, 0.0495676, -0.11359, -0.00788436, 0.360985, 0.116508, 2.19456
3.49, 0, 0.044892, -0.109587, -0.0067231, 0.69714, -0.206277, 1.76863
3.51, 0, 0.0396968, -0.11032, -0.00574519, 0.811738, -0.67422, 1.19946
3.53, 0, 0.0360908, -0.113162, -0.00421722, 1.31597, -1.36945, 0.563442
3.55, 0, 0.0336155, -0.114659, -0.00602023, 2.00165, -2.3569, -0.0763989
3.57, 0, 0.0334321, -0.117563, -0.00412554, 2.00929, -3.4475, -0.441203
3.59, 0, 0.0327904, -0.123277, -0.00259756, 1.89469, -4.04532, -0.536702
3.61, 0, 0.0321486, -0.126944, -0.00751765, 2.35309, -4.29362, -0.64366
3.63, 0, 0.0352046, -0.129022, -0.0130489, 2.42757, -4.7501, -0.65703
3.65, 0, 0.0492009, -0.133209, -0.0149436, 1.81065, -4.31654, -0.145158
3.67, 0, 0.0576047, -0.127525, -0.0142102, 2.36263, -3.55637, 0.324695
3.69, 0, 0.0600801, -0.112154, 0.000763989, 2.54599, -3.24695, 0.540522
3.71, 0, 0.0572075, -0.108517, 0.0103291, 1.64449, -2.99293, 0.68568
3.73, 0, 0.0526847, -0.109067, 0.00733429, 0.181447, -2.8917, 0.935886
3.75, 0, 0.0568713, -0.114934, 0.00470617, -1.81065, -2.74272, 1.46304
3.77, 0, 0.0626471, -0.11686, 0.00473673, -2.58992, -2.2404, 1.77627
3.79, 0, 0.0588271, -0.117074, 0.00149742, -1.68078, -1.41147, 1.74189
3.81, 0, 0.050301, -0.113773, -0.00397274, -0.582541, -1.2071, 1.14025
3.83, 0, 0.0416221, -0.116676, 0.00213917, 0.565352, -1.28159, 0.364805
3.85, 0, 0.0321792, -0.118907, 0.0024142, 1.73998, -1.53944, -0.427834
3.87, 0, 0.029276, -0.121719, 0.00152798, 2.8535, -2.12771, -1.188
3.89, 0, 0.0310179, -0.126028, -3.05595e-05, 3.82758, -3.31571, -1.69987
3.91, 0, 0.0346545, -0.119029, -0.00510344, 5.06906, -4.10835, -1.95199
3.93, 0, 0.045442, -0.118785, -0.00226141, 4.81504, -5.14164, -2.14872
3.95, 0, 0.0525624, -0.119121, -0.000733429, 4.63932, -5.42814, -2.07232
3.97, 0, 0.0558628, -0.118724, -0.00317819, 4.43304, -5.44151, -1.81447
3.99, 0, 0.0571158, -0.115821, -0.00605079, 3.99948, -5.27343, -1.64449
4.01, 0, 0.0576964, -0.115943, -0.00598967, 3.13617, -5.06142, -1.58146
4.03, 0, 0.056199, -0.116951, -0.0078538, 2.50588, -4.60112, -1.29878
4.05, 0, 0.0521346, -0.115118, -0.00773156, 1.77436, -4.45978, -1.17845
4.07, 0, 0.057727, -0.127617, -0.0124989, 1.3026, -4.70426, -0.821288
4.09, 0, 0.0634416, -0.131345, -0.0310179, 4.39484, -3.7741, -0.00763989
4.11, 0, 0.0587966, -0.115576, -0.0213917, 4.9984, -1.71706, 0.204367
4.13, 0, 0.0588882, -0.109648, -0.0197109, 4.29553, -1.14598, 0.0190997
4.14, 0, 0.0565657, -0.108517, -0.0191303, 3.85623, -0.876677, -0.147068
4.16, 0, 0.0500871, -0.11032, -0.0167466, 3.2756, -0.920606, -0.330425
4.18, 0, 0.0422944, -0.114537, -0.01693, 2.75036, -1.42675, -0.240656
4.2, 0, 0.0385661, -0.121749, -0.014088, 2.0685, -2.32444, -0.068759
4.22, 0, 0.0320264, -0.114262, -0.0137518, 2.29961, -3.17819, 0.110778
4.24, 0, 0.0315986, -0.107172, -0.0191608, 1.40001, -4.77875, -0.450753
4.26, 0, 0.0437307, -0.129664, -0.00406442, 0.284586, -6.29527, -0.716239
4.28, 0, 0.057727, -0.135959, 0.00192525, 1.46686, -6.10236, 0.305595
4.3, 0, 0.0515845, -0.112795, -0.00342267, 3.26605, -5.53128, 1.10587
4.32, 0, 0.044403, -0.0964459, -0.010543, 2.69306, -5.31545, 0.849937
4.34, 0, 0.0424472, -0.096721, -0.0157687, 1.33125, -5.66498, 0.139428
4.36, 0, 0.0440974, -0.0969043, -0.0228585, 0.67231, -5.62296, -0.368625
4.38, 0, 0.0493537, -0.102833, -0.0275036, -0.328515, -5.707, -0.907237
4.4, 0, 0.0572991, -0.110901, -0.0295816, -1.19373, -5.4014, -1.12115
4.42, 0, 0.0719066, -0.13162, -0.0197415, -2.4524, -4.35092, -0.781178
4.44, 0, 0.0843138, -0.147389, -0.00681478, -2.23276, -1.90806, 1.05239
4.46, 0, 0.0832748, -0.150872, -0.0065703, -1.1307, 1.2453, 4.18857
4.48, 0, 0.070562, -0.13055, -0.0135379, -0.164258, 3.39975, 7.37631
4.5, 0, 0.0716621, -0.104116, -0.00916786, -0.280766, 4.42922, 9.22898
4.52, 0, 0.109923, -0.075421, 0.0260062, -1.59483, 6.78613, 9.14685
4.54, 0, 0.080341, -0.0779574, 0.00892339, -0.878587, 7.61124, 6.73838
4.56, 0, 0.0375271, -0.112429, -0.00317819, -2.54408, 4.77111, 2.89743
4.58, 0, 0.0195275, -0.147939, 0.00427834, -4.60303, 3.3902, 1.42675
4.6, 0, 0.021025, -0.173028, 0.026923, -4.38529, 1.87368, 1.07913
4.62, 0, 0.0367326, -0.158421, 0.0367326, -0.152798, 1.29687, -0.0439293
4.63, 0, 0.0475507, -0.129114, 0.0285426, 3.02921, 1.43057, -1.46686
4.65, 0, 0.0594383, -0.107325, 0.0240198, 3.32335, 1.01992, -2.72171
4.67, 0, 0.0804022, -0.110412, 0.029765, 0.00954986, 0.538612, -4.20385
4.69, 0, 0.0995019, -0.115148, 0.0229502, -2.40274, 0.347615, -3.9842
4.71, 0, 0.0843443, -0.120068, 0.0123766, -3.23931, -0.0286496, -3.17819
4.73, 0, 0.0510039, -0.115821, 0.0137518, -2.65486, -0.351435, -3.50289
4.75, 0, 0.032607, -0.113254, 0.0171439, -2.15254, -0.565352, -4.28407
4.77, 0, 0.0160132, -0.105064, 0.014088, -1.15553, -1.43439, -4.49034
4.79, 0, 0.00883171, -0.0924732, 0.00568408, -0.752529, -2.32253, -3.58311
4.81, 0, 0.0127739, -0.0859334, 0.0064175, -1.67505, -3.08078, -2.27669
4.83, 0, 0.0283593, -0.091098, 0.00770101, -2.44476, -3.80466, -1.13834
4.85, 0, 0.0462366, -0.102344, 0.00907618, -2.355, -3.90971, 0.234927
4.87, 0, 0.0644195, -0.106164, 0.00754821, -1.78391, -3.41121, 1.9539
4.89, 0, 0.0784464, -0.113957, 0.00886227, -2.7198, -2.5479, 2.94136
4.91, 0, 0.0848333, -0.127586, 0.0113987, -2.93181, -0.909146, 3.66906
4.93, 0, 0.0805244, -0.127067, 0.00855667, -1.52607, 1.50124, 4.45978
4.95, 0, 0.0721511, -0.124805, 0.002567, -0.714329, 3.51626, 4.94301
4.97, 0, 0.0651835, -0.12725, -0.000397274, -0.636021, 5.29062, 4.40821
4.99, 0, 0.0556184, -0.122422, -0.00531736, -0.561532, 6.25898, 3.76073
5.01, 0, 0.0470006, -0.118999, -0.00724261, -1.35417, 6.24943, 2.98147
5.03, 0, 0.0422333, -0.114293, -0.00883171, -1.99783, 5.76238, 2.54981
5.05, 0, 0.0426611, -0.111787, -0.00962626, -2.80002, 5.29253, 2.03985
