# Time (seconds), Duration (seconds), f0, f1, f2, f3, f4, f5
3.23479, 0, -0.005551, -0.125629, -0.0093025, 0.455, -0.295312, 0.0459375
3.25666, 0, -0.005246, -0.124715, -0.0086315, 0.470313, -0.240625, -0.0765625
3.27229, 0, -0.005368, -0.124715, -0.008845, 0.400313, -0.172813, -0.09625
3.28792, 0, -0.0055815, -0.124836, -0.0094245, 0.299688, -0.177188, -0.0809375
3.30354, 0, -0.004758, -0.125233, -0.0086925, 0.199062, -0.23625, -0.021875
3.31916, 0, -0.0050325, -0.124836, -0.008418, 0.277813, -0.225313, 0.0503125
3.35655, 0, -0.005307, -0.124836, -0.007991, 0.301875, -0.249375, 0.115938
3.36435, 0, -0.005917, -0.124959, -0.007991, 0.304063, -0.317187, 0.18375
3.37216, 0, -0.005734, -0.124196, -0.0078995, 0.371875, -0.395938, 0.194688
3.40339, 0, -0.005917, -0.123952, -0.0078995, 0.312813, -0.444063, 0.170625
3.41897, 0, -0.0063135, -0.124379, -0.007625, 0.214375, -0.487812, 0.161875
3.43456, 0, -0.0068015, -0.12508, -0.007503, 0.181562, -0.53375, 0.20125
3.47255, 0, -0.0064355, -0.125721, -0.0077775, 0.16625, -0.588437, 0.255937
3.48819, 0, -0.0061, -0.126179, -0.0078995, 0.231875, -0.63875, 0.249375
3.50384, 0, -0.0058255, -0.124959, -0.0078385, 0.391562, -0.7875, 0.199062
3.5304, 0, -0.005917, -0.124165, -0.007259, 0.400313, -0.829063, 0.196875
3.55697, 0, -0.0060085, -0.123708, -0.006893, 0.3675, -0.824687, 0.190313
3.57258, 0, -0.0057035, -0.124348, -0.006832, 0.258125, -0.835625, 0.23625
3.58819, 0, -0.0053985, -0.125385, -0.00732, 0.229687, -0.833438, 0.277813
3.61946, 0, -0.0050325, -0.125446, -0.007198, 0.286563, -0.8225, 0.25375
3.6382, 0, -0.0047275, -0.124562, -0.007015, 0.347813, -0.811562, 0.214375
3.65693, 0, -0.005063, -0.124409, -0.007442, 0.293125, -0.77, 0.214375
3.67255, 0, -0.005246, -0.124562, -0.007625, 0.234063, -0.724063, 0.220938
3.68818, 0, -0.005368, -0.124501, -0.007564, 0.21875, -0.702187, 0.234063
3.7038, 0, -0.0057645, -0.124928, -0.0076555, 0.199062, -0.680313, 0.25375
3.73508, 0, -0.0061, -0.125294, -0.0075945, 0.20125, -0.680313, 0.25375
3.75376, 0, -0.0058255, -0.124959, -0.0072895, 0.25375, -0.649688, 0.231875
3.77244, 0, -0.0058255, -0.124806, -0.00732, 0.255937, -0.63, 0.2275
3.8037, 0, -0.005673, -0.124928, -0.007198, 0.25375, -0.584063, 0.225313
3.81932, 0, -0.0050325, -0.125111, -0.007198, 0.242812, -0.535937, 0.225313
3.83503, 0, -0.004941, -0.124897, -0.007564, 0.290938, -0.461563, 0.220938
3.85682, 0, -0.005856, -0.125325, -0.008113, 0.30625, -0.426562, 0.238438
3.87245, 0, -0.005551, -0.125508, -0.0073505, 0.334688, -0.391562, 0.269062
3.88808, 0, -0.005063, -0.124836, -0.0071675, 0.426562, -0.32375, 0.273438
3.90369, 0, -0.005063, -0.124501, -0.0072895, 0.444063, -0.242812, 0.242812
3.91929, 0, -0.005246, -0.124684, -0.007442, 0.422188, -0.179375, 0.196875
3.95682, 0, -0.005368, -0.124684, -0.0072895, 0.389375, -0.126875, 0.153125
3.96462, 0, -0.006161, -0.124257, -0.008174, 0.365312, -0.0721875, 0.118125
3.97243, 0, -0.0071675, -0.124165, -0.0091805, 0.354375, -0.0765625, 0.0525
4.00369, 0, -0.0073505, -0.124623, -0.0093635, 0.304063, -0.18375, -0.013125
4.01931, 0, -0.0068625, -0.12508, -0.0083875, 0.336875, -0.27125, -0.04375
4.03494, 0, -0.0069845, -0.12566, -0.0078385, 0.347813, -0.245, 0.0940625
4.06934, 0, -0.008052, -0.12566, -0.008113, 0.441875, -0.273438, 0.275625
4.10375, 0, -0.009638, -0.123616, -0.009638, 0.634375, -0.317187, 0.380625
4.1193, 0, -0.0151585, -0.118676, -0.010736, 0.651875, -0.562187, 0.518438
4.13497, 0, -0.0157075, -0.118828, -0.00732, 0.385, -0.850937, 0.3675
4.15687, 0, -0.016165, -0.120261, -0.0054595, 0.225313, -1.12219, 0.0371875
4.17249, 0, -0.0135725, -0.12325, -0.0060085, -0.00875, -1.05438, -0.2275
4.1881, 0, -0.0108275, -0.127581, -0.002013, -0.245, -1.01063, -0.231875
4.21935, 0, -0.009577, -0.130875, -0.000122, -0.457188, -0.789688, -0.0525
4.23803, 0, -0.007137, -0.134841, -0.004453, -0.951563, -0.511875, 0.293125
4.25672, 0, -0.0089365, -0.13725, -0.003904, -0.9625, -0.479062, 0.566562
4.27248, 0, -0.0122915, -0.133437, -0.001281, -0.25375, -0.492188, 0.837812
4.2881, 0, -0.0137555, -0.127063, -0.001159, 0.4375, -0.455, 1.07187
4.30371, 0, -0.0130845, -0.124288, 0.0002135, 0.389375, -0.400313, 1.22719
4.33498, 0, -0.011468, -0.124074, 0.00122, 0.4375, -0.205625, 1.18344
4.35372, 0, -0.012932, -0.122854, 0.001098, 0.645312, 0.111562, 1.03906
4.37246, 0, -0.0146095, -0.122244, 0.0019825, 0.616875, 0.308437, 0.993125
4.40371, 0, -0.0169275, -0.121695, 0.0023485, 0.41125, 0.433125, 0.990938
4.41926, 0, -0.0187575, -0.121055, 0.002806, 0.190313, 0.5075, 0.951563
4.43496, 0, -0.0196115, -0.12078, 0.00305, 0.0853125, 0.426562, 0.818125
4.45676, 0, -0.0185135, -0.119926, 0.0039345, 0.172813, 0.336875, 0.5425
4.47237, 0, -0.017629, -0.117882, 0.003416, 0.304063, 0.282187, 0.225313
4.48798, 0, -0.017324, -0.118859, 0.002623, 0.118125, 0.214375, -0.0328125
4.51925, 0, -0.0160735, -0.124775, 0.002806, -0.216562, 0.0853125, -0.196875
4.53819, 0, -0.0162565, -0.127246, -0.000854, -0.126875, -0.0284375, -0.321562
4.55713, 0, -0.017507, -0.13115, -0.0085705, -0.284375, -0.240625, -0.28
4.57263, 0, -0.0138775, -0.138988, -0.0086315, -0.575312, -0.56875, -0.0809375
4.58832, 0, -0.007442, -0.140696, -0.002074, 0.290938, -0.44625, 0.247187
4.604, 0, -0.009333, -0.120353, -0.0039345, 2.13719, -0.11375, 0.6825
4.61963, 0, -0.0089975, -0.123525, -0.0033245, 1.80031, -0.07875, 0.750313
4.63526, 0, -0.009516, -0.118828, -0.0071065, 1.41094, -0.0503125, 0.487812
4.67332, 0, -0.0130845, -0.112301, -0.006161, 1.31906, 0.264688, -0.0175
4.68895, 0, -0.0148535, -0.116967, -0.0024705, 0.741562, 0.286563, -0.18375
4.70459, 0, -0.0163785, -0.126758, 0.0003355, 0.255937, 0.616875, -0.328125
4.72018, 0, -0.0160735, -0.128252, -0.001037, 0.28875, 0.651875, -0.249375
4.7576, 0, -0.0153415, -0.126788, 0.000976, 0.234063, 0.7, -0.07
4.78885, 0, -0.014335, -0.117425, -0.0002135, 0.172813, 0.273438, -0.146563
4.80449, 0, -0.0125355, -0.126971, -0.00061, -0.363125, 0.07875, -0.212187
4.82012, 0, -0.0110105, -0.133376, -0.0010675, 0.409063, -0.0459375, -0.286563
4.85751, 0, -0.0116815, -0.120048, 3.05e-05, 1.94031, 0.135625, -0.511875
4.86531, 0, -0.0111325, -0.121176, -0.0003355, 0.400313, 0.170625, -0.321562
4.87312, 0, -0.011285, -0.126026, -0.0010675, -0.0546875, 0.2275, -0.260312
4.90438, 0, -0.011529, -0.12813, -0.0016775, 0.448438, 0.284375, -0.23625
4.92001, 0, -0.0127795, -0.12566, -0.0001525, 1.08063, 0.378437, -0.295312
4.93563, 0, -0.012627, -0.125629, 0.001098, 1.30375, 0.406875, -0.321562
4.95452, 0, -0.012444, -0.124501, 0.0015555, 1.25344, 0.42, -0.196875
4.97341, 0, -0.011773, -0.122366, 0.002989, 1.05219, 0.319375, -0.161875
4.98908, 0, -0.0114375, -0.122427, 0.002745, 0.579687, 0.330312, -0.111562
5.00468, 0, -0.00976, -0.125721, 0.0028975, 0.42, 0.42, -0.0765625
5.02029, 0, -0.00854, -0.125142, 0.0032025, 0.518438, 0.538125, -0.100625
5.05782, 0, -0.0093025, -0.126727, 0.001952, 0.365312, 0.732813, -0.105
5.07343, 0, -0.01098, -0.125355, 0.0025315, 0.675937, 1.01937, -0.170625
5.08904, 0, -0.0118035, -0.123647, 0.003904, 0.549062, 1.13531, -0.336875
5.12031, 0, -0.0124135, -0.126209, 0.0033245, 0.260312, 1.26437, -0.465937
5.13931, 0, -0.015128, -0.124775, 0.003233, 0.619062, 1.31469, -0.531563
5.15831, 0, -0.015372, -0.120993, 0.0026535, 0.710938, 1.26437, -0.470313
5.17394, 0, -0.0154635, -0.120871, 0.0017995, 0.391562, 0.960312, -0.21875
5.18956, 0, -0.0157685, -0.121847, 0.0023485, -0.0415625, 0.614688, 0.0328125
5.20519, 0, -0.0155855, -0.134017, 0.001159, 0.0678125, 0.529375, -0.0328125
5.22082, 0, -0.0122915, -0.125325, 0.005124, 1.92062, 0.448438, -0.214375
5.23645, 0, -0.012871, -0.112331, 0.002501, 0.861875, -0.02625, -0.013125
5.27372, 0, -0.0126575, -0.125843, 0.003904, -1.27531, -0.155312, 0.190313
5.28934, 0, -0.0122305, -0.142221, -0.000244, 0.76125, 0.3325, -0.164062
5.30512, 0, -0.012993, -0.118279, 0.010126, 4.3925, 0.378437, -0.500938
5.32072, 0, -0.010553, -0.11163, 0.0104615, 2.17438, -0.35875, -0.21
5.35815, 0, -0.0092415, -0.118126, 0.0065575, -1.25344, -0.643125, 0.188125
5.38934, 0, -0.008296, -0.12264, 0.00366, -2.56156, -0.413438, 0.1225
5.42052, 0, -0.0090585, -0.134505, 0.00244, -3.01, -0.277813, 0.177188
5.43933, 0, -0.0105225, -0.141459, 0.0058255, 2.02125, -0.126875, -0.345625
5.45814, 0, -0.0108275, -0.120475, 0.004331, 4.32031, -0.120312, -0.275625
5.46595, 0, -0.011529, -0.119468, 0.0104615, 3.46938, 0.161875, -0.34125
5.47375, 0, -0.010919, -0.143472, 0.0122, 2.03875, -0.360938, -0.0809375
5.50501, 0, -0.0099125, -0.20801, 0.0116205, 10.3447, -3.76688, 2.81969
5.52064, 0, -0.0391925, -0.0875655, 0.0176595, 18.7425, -2.08031, -3.70125
5.53626, 0, 0.0146095, -0.0291275, 0.0195505, 19.6131, -8.13313, -30.5506
5.58925, 0, -0.013847, -0.046116, 0.0369355, -16.1437, -3.39281, -0.70875
5.59713, 0, 0.0076555, -0.135389, -0.008418, -20.9737, -0.829063, 13.6456
5.605, 0, -0.02745, -0.212921, 0.028487, -10.7734, -2.68625, 15.6122
5.62061, 0, -0.014579, -0.104523, -0.003294, -3.91344, 2.29469, -0.986562
5.63926, 0, -0.0091195, -0.125568, 0.0024705, -4.61562, -0.870625, 0.6125
5.65791, 0, -0.0078385, -0.132675, 0.0024095, -4.2875, -0.0984375, 0.413438
5.6736, 0, -0.0042395, -0.136121, 0.0043615, -1.75219, -0.74375, 0.27125
