Time (seconds),accel0,accel1,accel2,gyro0,gyro1,gyro2
1.966,0.097057119,-0.800904572,0.5126669406,-9.1525840759,-3.4073894023,1.1154234409
1.9859999999,0.0938789248,-0.7930813431,0.5023989081,-9.1067447662,-3.101793766,0.855667293
2.0059999999,0.0858112052,-0.7791461944,0.485774517,-8.4955539703,-4.3700151443,0.1527977287
2.0259999999,0.0777434855,-0.7656999826,0.4813739657,-7.1050944328,-5.1798429489,0.0916786342
2.0459999999,0.0711426213,-0.7505424022,0.4860190153,-4.7214498519,-4.2477769851,0.5500718355
2.0659999999,0.0750542432,-0.7527427077,0.484552145,-3.2240319252,-3.0101151466,0.855667293
2.0859999999,0.0757876709,-0.7644776105,0.4901750981,-2.1697278022,-3.1170735359,0.6111909151
2.1059999999,0.0750542432,-0.7705894708,0.4882192909,0.1222381815,-3.3004307746,-0.0611190907
2.1259999999,0.0814106315,-0.7681447267,0.4960425496,2.3072457313,-2.2308468818,0.0305595453
2.1459999999,0.0963236838,-0.768389225,0.5109555721,4.4464139938,0.4736729562,0.9626256823
2.1659999999,0.1017021685,-0.7774348258,0.522201538,5.8521528244,3.5143477916,1.1612627506
2.196,0.0853222534,-0.8119059801,0.5178009271,5.9285516738,3.6977050304,-0.0152797726
2.216,0.0838553905,-0.8343978524,0.5151116847,7.0439753532,2.9642758369,-0.6417504549
2.236,0.0831219628,-0.8490663766,0.5212236046,7.4870886802,3.0406746864,0.0611190907
2.2559999999,0.0907007306,-0.8478440046,0.5446933507,5.9591112136,3.75882411,1.2987806797
2.2759999999,0.0909452065,-0.8617791533,0.5500718355,5.9285516738,4.415854454,2.3378052711
2.2959999999,0.1043914034,-0.8776701688,0.5610732436,6.4786233901,4.415854454,2.5670018196
2.3159999999,0.1127036064,-0.879625976,0.5654738545,7.6398863792,4.568652153,2.2155671119
2.3359999999,0.1002353057,-0.8791369795,0.5693854689,8.8011493682,3.6824252605,2.3225255012
2.3559999999,0.0929010212,-0.8801149129,0.5801423788,9.0303459167,3.4685084819,2.4142041206
2.3759999999,0.0926565378,-0.8857378363,0.5823426842,8.4344348907,3.5296275615,2.1086087226
2.3959999999,0.0931454971,-0.8960058689,0.5769641995,7.8385233879,2.9031567573,1.6502153873
2.4159999999,0.0926565378,-0.9065183401,0.5723191499,6.49390316,1.2835009098,1.726614356
2.4359999999,0.0894783511,-0.9084741473,0.5767197608,4.9506464004,-0.0763988643,1.2987806797
2.4559999999,0.0882559642,-0.8974727392,0.5869877338,4.0338602066,-1.0848639011,0.0763988643
2.4759999999,0.0914341583,-0.8835375905,0.5913883447,3.4837882518,-1.6807750463,-1.6960548162
2.4959999999,0.0960792079,-0.875714302,0.5928551554,3.9421813488,-1.4515783786,-3.0712342262
2.516,0.0941234007,-0.8722916841,0.5935885906,4.8131284713,-1.3140604496,-2.9337162971
2.536,0.082633011,-0.8696024417,0.5857653617,4.0796995162,-2.2461266517,-2.0627694129
